"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"t8da927-q","What do you think about the taste in your mouth a little bit after you take the suspension? The aftertaste is …","Co si myslíš o chuti suspenze chvíli po podání dávky? Přetrvávající chuť je ...","Что ты думаешь о вкусе во рту через какое-то время после приема суспензии? Моя оценка послевкусия...","Que penses-tu du goût dans ta bouche un peu après que tu prends la suspension? L’arrière-goût est...","Vad tycker du om smaken i munnen en liten stund efter att du svalt medicinen? Smaken är…","Que pensez-vous du goût dans la bouche peu après avoir pris la suspension ? L'arrière-goût est ...","Que penses-tu de l’arrière-goût dans la bouche un peu après avoir avalé la suspension ? L’arrière-goût est …","מה אתה חושב על הטעם בפה שלך זמן קצר לאחר שנטלת את התרחיף? טעם הלוואי הוא ...","¿Qué piensas acerca del gusto que te queda en la boca después de tomar la suspensión? El gusto que deja en la boca es ...","현탁액의 뒷맛에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 뒷맛은...","What do you think about the taste in your mouth a little bit after you take the suspension? The aftertaste is ...","Co sądzisz o posmaku zawiesiny po pewnym czasie od przyjęcia dawki leku. Posmak jest…","Was hältst du vom Geschmack im Mund, kurz nachdem du die Suspension eingenommen hast? Der Nachgeschmack ist …","What do you think about the taste in your mouth a little bit after you take the suspension? The aftertaste is ...","Vad tycker du om smaken i din mun en stund efter att du tagit medicinen? Eftersmaken är ...","Come ti sembra il sapore che senti in bocca dopo un po’ che hai preso la sospensione? Il retrogusto è...","Was hältst du vom Geschmack im Mund, kurz nachdem du die Suspension eingenommen hast? Der Nachgeschmack ist …","What do you think about the taste in your mouth a little bit after you take the suspension? The aftertaste is ...","Mitä mieltä olet mausta suussasi jonkin ajan päästä siitä, kun olet ottanut suspensiota? Jälkimaku on...","O que achaste do sabor na boca passado pouco tempo de tomar a suspensão? O gosto residual é...","ما رأيك في المذاق داخل فمك بعد تناولك للمعلق بفترة قصيرة؟ مذاق ما بعد البلع …","Süspansiyonu aldıktan kısa bir süre sonra ağızda bıraktığı tat hakkında ne düşünüyorsunuz? Ağızda bıraktığı tat ...","¿Qué opinas sobre el sabor que te quedó en la boca inmediatamente después de tomar la suspensión? Elregusto es...","Wat vind je van de smaak in je mond even nadat je de suspensie hebt ingenomen? De nasmaak is ...","Que penses-tu de l’arrière-goût dans la bouche juste après avoir avalé le médicament ? L’arrière-goût est …","Milyen ízt érzel a szádban röviddel azután, hogy beveszed a szuszpenziót? Az utóíz...","Wat vind je van de smaak in je mond nadat je het drankje hebt ingenomen? De nasmaak is …"
"t8da927-t8da927_t4dc52c-c","<p>Very bad</p><img src=""58.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"t8da927-t8da927_sb04a19-c","<p>Bad</p><img src=""59.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"t8da927-t8da927_fd8878c-c","<p>Neutral</p><img src=""60.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"t8da927-t8da927_a19629f-c","<p>Good</p><img src=""61.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
"t8da927-t8da927_jdaeb13-c","<p>Very good</p><img src=""62.png""/>","Velmi dobrá <img src=""148.png""/>","Очень хорошо <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Mycket bra  <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","טוב מאוד   <img src=""148.png""/>","Muy agradable  <img src=""148.png""/>","매우 좋음 <img src=""148.png""/>","Very good <img src=""148.png""/>","Bardzo dobra <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","mycket bra  <img src=""148.png""/>","Molto gradevole <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","todella hyvä     <img src=""148.png""/>","Muito boa <img src=""148.png""/>","جيد جدًا   <img src=""148.png""/>","Çok iyi <img src=""148.png""/>","Muy buena <img src=""148.png""/>","Heel goed <img src=""148.png""/>","Très bon    <img src=""148.png""/>","Nagyon jó  <img src=""148.png""/>","Zeer goed <img src=""148.png""/>"
"t8da927-t8da927_u11e294-c","<p>Not assessable</p><img src=""63.png""/>","Nelze hodnotit <img src=""149.png""/>","Не поддается оценке <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Vet ej <img src=""149.png""/>","Je ne sais pasNe <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","לא ניתן להערכה  <img src=""149.png""/>","No se puede evaluar <img src=""149.png""/>","평가할 수 없음 <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Niemożliwa do oceny <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Jag kan inte säga <img src=""149.png""/>","Non valutabile <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","ei arvioitavissa <img src=""149.png""/>","Não avaliável <img src=""149.png""/>","لم أستطع التقييم  <img src=""149.png""/>","Değerlendirilemiyor <img src=""149.png""/>","No evaluable <img src=""149.png""/>","Kan ik niet zeggen  <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Nem értékelhető <img src=""149.png""/>","Niet van toepassing <img src=""149.png""/>"
"h2bab29-q","The suspension has a ….<br/><br>
Fruity Taste","Suspenze má.... ovocnou chuť","Вкус суспензии... Фруктовый ","La suspension a un …. Goût fruité  ","Suspensionen har en ... Fruktig smak","La suspension a un …. Goût fruité  ","La suspension a un …. Goût fruité  ","לתרחיף יש …. טעם פירותי ","La suspensión tiene ... Gusto a frutas  ","현탁액의 맛은....  과일맛  ","The suspension has a ….
Fruity Taste","Zawiesina ma… Owocowy smak  ","Die Suspension hat einen … fruchtigen Geschmack ","The suspension has a ….
Fruity Taste","Suspensionen har en ... Fruktig smak","La sospensione haun... Sapore fruttato","Die Suspension hat einen … fruchtigen Geschmack ","The suspension has a ….
Fruity Taste","Suspension maku on... Hedelmäinen  ","A suspensão tem um... Sabor frutado","للمعلقمذاق... مذاق الفاكهة ","Süspansiyonun.... bir tadı var: Meyveli","La suspensión tiene un .... Sabor afrutado","De Suspensie smaakt  … Fruitig  ","Le médicament a un goût Fruité  ","A szuszpenzió íze... Gyümölcsös  ","Het drankje heeft een …. Fruitige smaak  "
"h2bab29-h2bab29_e77e039-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"h2bab29-h2bab29_x11cc7d-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"ma75426-q","The suspension has a ….<br/><br>
Spicy Taste","Suspenze má.... ostrou chuť","Вкус суспензии... Острый ","La suspension a un …. Goût épicé ","Suspensionen har en ... Kryddig smak","La suspension a un …. Goût épicé ","La suspension a un …. Goût épicé ","לתרחיף יש …. טעם חריף","La suspensión tiene ... Gusto picante ","현탁액의 맛은.... 매운맛","The suspension has a ….
Spicy Taste","Zawiesina ma… Ostry smak ","Die Suspension hat einen … würzigen Geschmack ","The suspension has a ….
Spicy Taste","Suspensionen har en ... Kryddig smak","La sospensione haun... Sapore piccante","Die Suspension hat einen … würzigen Geschmack ","The suspension has a ….
Spicy Taste","Suspension maku on... Mausteinen ","A suspensão tem um... Sabor picante","للمعلقمذاق... مذاق حار","Süspansiyonun.... bir tadı var: Baharatlı","La suspensión tiene un .... Sabor picante","De Suspensie smaakt  … Pikant","Le médicament a un goût Epicé ","A szuszpenzió íze... Csípős","Het drankje heeft een …. Pittige smaak "
"ma75426-ma75426_y51b88a-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"ma75426-ma75426_xb420e4-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"m868376-q","The suspension has a ….<br/><br>
Salty Taste","Suspenze má.... slanou chuť ","Вкус суспензии... Соленый ","La suspension a un …. Goût salé ","Suspensionen har en ... Salt smak","La suspension a un …. Goût salé ","La suspension a un …. Goût salé ","לתרחיף יש …. טעם מלוח","La suspensión tiene ... Gusto salado ","현탁액의 맛은.... 짠맛","The suspension has a ….
Salty Taste","Zawiesina ma… Słony smak ","Die Suspension hat einen … salzigen Geschmack ","The suspension has a ….
Salty Taste","Suspensionen har en ... Salt smak","La sospensione haun... Sapore salato ","Die Suspension hat einen … salzigen Geschmack ","The suspension has a ….
Salty Taste","Suspension maku on... Suolainen ","A suspensão tem um... Sabor salgado ","للمعلقمذاق... مذاق مالح","Süspansiyonun.... bir tadı var: Tuzlu ","La suspensión tiene un .... Sabor salado ","De Suspensie smaakt  … Zout ","Le médicament a un goût Salé ","A szuszpenzió íze... Sós","Het drankje heeft een …. Zoutige smaak "
"m868376-m868376_t6a62f9-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"m868376-m868376_ke615c4-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"n5ec5ca-q","The suspension has a ….<br/><br>
Sour Taste","Suspenze má.... kyselou chuť","Вкус суспензии... Кислый","La suspension a un …. Goût acidulé","Suspensionen har en ... Sur smak","La suspension a un …. Goût aigre","La suspension a un …. Goût acide","לתרחיף יש …. טעם חמוץ","La suspensión tiene ... Gusto ácido","현탁액의 맛은.... 신맛","The suspension has a ….
Sour Taste","Zawiesina ma… Kwaśny smak","Die Suspension hat einen … sauren Geschmack","The suspension has a ….
Sour Taste","Suspensionen har en ... Sur smak","La sospensione haun... Sapore aspro","Die Suspension hat einen … sauren Geschmack","The suspension has a ….
Sour Taste","Suspension maku on... Hapan","A suspensão tem um... Sabor azedo","للمعلقمذاق... مذاق حامضي","Süspansiyonun.... bir tadı var: Ekşi","La suspensión tiene un .... Sabor agrio","De Suspensie smaakt  … Zuur","Le médicament a un goût Acide","A szuszpenzió íze... Savanyú","Het drankje heeft een …. Zure smaak"
"n5ec5ca-n5ec5ca_i8ac28d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"n5ec5ca-n5ec5ca_h5eabed-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"t72af18-q","The suspension has a ….<br/><br>
Sweet Taste","Suspenze má.... sladkou chuť","Вкус суспензии... Сладкий","La suspension a un …. Goût sucré","Suspensionen har en ... Söt smak","La suspension a un …. Goût sucré","La suspension a un …. Goût sucré","לתרחיף יש …. טעם מתוק","La suspensión tiene ... Gusto dulce","현탁액의 맛은.... 단맛","The suspension has a ….
Sweet Taste","Zawiesina ma… Słodki smak","Die Suspension hat einen … süßen Geschmack","The suspension has a ….
Sweet Taste","Suspensionen har en ... Söt smak","La sospensione haun... Sapore dolce","Die Suspension hat einen … süßen Geschmack","The suspension has a ….
Sweet Taste","Suspension maku on... Makea","A suspensão tem um... Sabor doce","للمعلقمذاق... مذاق حلو","Süspansiyonun.... bir tadı var: Tatlı","La suspensión tiene un .... Sabor dulce","De Suspensie smaakt  … Zoet","Le médicament a un goût Sucré","A szuszpenzió íze... Édes","Het drankje heeft een …. Zoete smaak"
"t72af18-t72af18_y3f22b1-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"t72af18-t72af18_ife34cd-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"e18d8c6-q","The suspension has a ….<br/><br>
Bitter Taste","Suspenze má.... hořkou chuť","Вкус суспензии... Горький","La suspension a un …. Goût amer","Suspensionen har en ... Bitter smak","La suspension a un …. Goût amer","La suspension a un …. Goût amer","לתרחיף יש …. טעם מר","La suspensión tiene ... Gusto amargo","현탁액의 맛은.... 쓴맛","The suspension has a ….
Bitter Taste","Zawiesina ma… Gorzki smak","Die Suspension hat einen … bitteren Geschmack","The suspension has a ….
Bitter Taste","Suspensionen har en ... Besk smak","La sospensione haun... Sapore amaro","Die Suspension hat einen … bitteren Geschmack","The suspension has a ….
Bitter Taste","Suspension maku on... Kitkerä","A suspensão tem um... Sabor amargo","للمعلقمذاق... مذاق مر","Süspansiyonun.... bir tadı var: Acı","La suspensión tiene un .... Sabor amargo","De Suspensie smaakt  … Bitter","Le médicament a un goût Amer","A szuszpenzió íze... Keserű","Het drankje heeft een …. Bitter smaak"
"e18d8c6-e18d8c6_m256081-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"e18d8c6-e18d8c6_za56075-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"z15679e-q","The suspension has a ….<br/><br>
Other Taste","Suspenze má.... jinou chuť","Вкус суспензии... Другой","La suspension a un …. Autre goût","Suspensionen har en ... Annan smak","La suspension a un …. Autre goût","La suspension a un …. Autre goût","לתרחיף יש ….  טעם אחר","La suspensión tiene ... Otro gusto","현탁액의 맛은.... 다른 맛","The suspension has a ….
Other Taste","Zawiesina ma… Inny smak","Die Suspension hat einen … anderen Geschmack","The suspension has a ….
Other Taste","Suspensionen har en ... Annan typ av smak","La sospensione haun... Altro sapore","Die Suspension hat einen … anderen Geschmack","The suspension has a ….
Other Taste","Suspension maku on... Muunlainen","A suspensão tem um... Outro sabor","للمعلقمذاق... مذاق آخر","Süspansiyonun.... bir tadı var: Diğer","La suspensión tiene un .... Otro sabor","De Suspensie smaakt  … Andere","Le médicament a un goût Autre goût","A szuszpenzió íze... Egyéb","Het drankje heeft een …. Anders"
"z15679e-z15679e_x15d4a2-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"z15679e-z15679e_n504e4a-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"z206179-q","What was the taste?","Jakou chuť?","Каким был вкус?","Comment le médicament goûte-t-il?","Vad smakade den?","Quel était le goût ?","Quel était le goût ?","מה היה הטעם?","¿Qué gusto tiene?","자세하게 적어주십시오.","What was the taste?","PROSZĘ OKREŚLIĆ","Um was für einen Geschmack handelte es sich?","What was the taste?","Hurdan är smaken?","Com’era il sapore?","Um was für einen Geschmack handelte es sich?","What was the taste?","Millainen?","Qual foi o sabor?","ما هذا المذاق؟","Tadı nasıldı?","¿Qué sabor tenía?","Hoe was de smaak?","Quel était le goût ?","Milyen volt az íze?","Hoe was de smaak?"
"pd70cb2-q","The suspension has a ….<br/><br>
Not assessable Taste","Suspenze má.... Chuť nelze vyhodnotit","Вкус суспензии... Вкус не поддается оценке ","La suspension a un …. Goût non évaluable ","Suspensionen har en ... Vet ej  ","La suspension a un …. Je ne sais pas ","La suspension a un …. Goût non évaluable ","לתרחיף יש …. הטעם לא ניתן להערכה","La suspensión tiene ... El gusto no se puede evaluar ","현탁액의 맛은....","The suspension has a ….
Not assessable Taste","Zawiesina ma… Smak niemożliwy do określenia ","Die Suspension hat einen … Geschmack nicht bewertbar ","The suspension has a ….
Not assessable Taste","Suspensionen har en ... Jag kan inte beskriva smaken ","La sospensione haun... Sapore non valutabile","Die Suspension hat einen … Geschmack nicht bewertbar ","The suspension has a ….
Not assessable Taste","Suspension maku on... Ei arvioitavissa oleva maku ","A suspensão tem um... Sabor não avaliável","للمعلقمذاق... لم أستطع تقييم المذاق","Süspansiyonun.... bir tadı var: Tat değerlendirilemiyor","La suspensión tiene un .... Sabor no evaluable","De Suspensie smaakt  … Kan ik niet zeggen ","Le médicament a un goût Non évaluable ","A szuszpenzió íze... Nem értékelhető íz ","Het drankje heeft een …. Niet te beoordelen "
"pd70cb2-pd70cb2_c9b5910-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"pd70cb2-pd70cb2_h7d81d5-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"obd4e1f-q","The suspension ….<br/><br>
Feels like sand","Suspenze vyvolává pocit, který lze popsat jako ... písek","Суспензия ощущается как... Песок","La suspension est… Sableuse","Suspensionen ... Känns som sand","La suspension donne une ... Sensation de sable","La suspension…. Est comme du sable","התרחיף …. מרגיש כמו חול","La suspensión ... Sabe como arena","현탁액은...  모래 같은 느낌","The suspension ….
Feels like sand","Zawiesina… Jest jak piasek","Die Suspension … fühlt sich sandig an","The suspension ….
Feels like sand","Suspensionen ... Känns sandig","La sospensione... Sembra sabbia","Die Suspension … fühlt sich sandig an","The suspension ….
Feels like sand","Suspensio... Tuntuu rakeiselta","A suspensão... Parece areia","المعلق... له ملمس الرمل","Süspansiyon .... Kum gibi bir his bırakıyor","La suspensión produce una.... Sensación arenosa","De suspensie ... Voelt aan als zand","Le médicament …. Est comme du sable","A szuszpenzió... Homokszerű","Het drankje (suspensie)…. Voelt als zand aan"
"obd4e1f-obd4e1f_pd934f5-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"obd4e1f-obd4e1f_h24fc60-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"kfbd80c-q","The suspension ….<br/><br>
Feels dry","Suspenze vyvolává pocit, který lze popsat jako ... suchý","Суспензия ощущается как... Что-то сухое","La suspension est… Sèche","Suspensionen ... Känns torr","La suspension donne une ... Sensation de sécheresse","La suspension…. Est sèche","התרחיף …. מרגיש יבש","La suspensión ... Deja la boca seca","현탁액은... 건조한 느낌","The suspension ….
Feels dry","Zawiesina… Jest sucha","Die Suspension … fühlt sich trocken an","The suspension ….
Feels dry","Suspensionen ... Känns torr","La sospensione... È asciutta","Die Suspension … fühlt sich trocken an","The suspension ….
Feels dry","Suspensio... Tuntuu kuivalta","A suspensão... Parece seca","المعلق... له ملمس جاف","Süspansiyon .... Kuru bir his bırakıyor","La suspensión produce una.... Sensación seca","De suspensie ... Voelt droog aan","Le médicament …. Est sec","A szuszpenzió... Száraz","Het drankje (suspensie)…. Voelt droog aan"
"kfbd80c-kfbd80c_n5c504e-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"kfbd80c-kfbd80c_kf54341-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"x827a16-q","The suspension ….<br/><br>
Feels Sticky","Suspenze vyvolává pocit, který lze popsat jako ... lepkavý","Суспензия ощущается как... Что-то липкое","La suspension est… Collante","Suspensionen ... Känns klibbig","La suspension donne une ... Sensation collante","La suspension…. Est collante","התרחיף …. מרגיש דביק","La suspensión ... Se siente pegajosa","현탁액은... 끈적끈적한 느낌","The suspension …
Feels Sticky","Zawiesina… Jest kleista","Die Suspension … fühlt sich klebrig an","The suspension …
Feels Sticky","Suspensionen ... Känns klibbig","La sospensione... È appiccicosa","Die Suspension … fühlt sich klebrig an","The suspension …
Feels Sticky","Suspensio... Tuntuu tahmaiselta","A suspensão... Parece pegajosa","المعلق... له ملمس لزج","Süspansiyon .... Yapışkan bir his bırakıyor","La suspensión produce una.... Sensación pegajosa","De suspensie ... Voelt kleverig aan","Le médicament …. Est collant","A szuszpenzió... Ragadós","Het drankje (suspensie)…. Voelt plakkerig aan"
"x827a16-x827a16_r1ae5c8-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"x827a16-x827a16_o8286b0-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"b902fa3-q","The suspension ….<br/><br>
Is difficult to swallow","Suspenze vyvolává pocit, který lze popsat jako ... Obtížně se polyká","Суспензия ощущается как... Трудно проглатывается","La suspension est… Difficile à avaler","Suspensionen ... Är svår att svälja","La suspension donne une ... Est difficile à avaler","La suspension…. Est difficile à avaler","התרחיף …. קשה לבליעה","La suspensión ... Difícil de tragar","현탁액은... 삼키기 어려움","The suspension ….
Is difficult to swallow","Zawiesina… Jest trudna do przełknięcia","Die Suspension … lässt sich schwer schlucken","The suspension ….
Is difficult to swallow","Suspensionen ... Är svår att svälja","La sospensione... È difficile da inghiottire","Die Suspension … lässt sich schwer schlucken","The suspension ….
Is difficult to swallow","Suspensio... On vaikeaa niellä","A suspensão... É difícil de engolir","المعلق... هل المعلق صعب البلع","Süspansiyon .... Zor yutuluyor","La suspensión .... Es difícil de tragar","De suspensie ... Is moeilijk door te slikken","Le médicament …. Est difficile à avaler","A szuszpenzió... Nehéz lenyelni","Het drankje (suspensie)…. Moeilijk door te slikken"
"b902fa3-b902fa3_p6eb2b1-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"b902fa3-b902fa3_r78b593-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
